{'loss': 7.8595, 'grad_norm': 40.87357711791992, 'learning_rate': 4.9924000000000005e-05, 'epoch': 0.01}
{'loss': 5.2744, 'grad_norm': 43.68580627441406, 'learning_rate': 4.9844e-05, 'epoch': 0.02}
{'loss': 3.0303, 'grad_norm': 37.991966247558594, 'learning_rate': 4.976400000000001e-05, 'epoch': 0.02}
{'loss': 1.1475, 'grad_norm': 12.304681777954102, 'learning_rate': 4.9684e-05, 'epoch': 0.03}
{'loss': 0.5126, 'grad_norm': 2.8619801998138428, 'learning_rate': 4.9604e-05, 'epoch': 0.04}
{'loss': 0.5084, 'grad_norm': 2.954087018966675, 'learning_rate': 4.9524e-05, 'epoch': 0.05}
{'loss': 0.3411, 'grad_norm': 1.991676688194275, 'learning_rate': 4.9444e-05, 'epoch': 0.06}
{'loss': 0.4426, 'grad_norm': 3.36156964302063, 'learning_rate': 4.9364000000000004e-05, 'epoch': 0.06}
{'loss': 0.3723, 'grad_norm': 2.143024444580078, 'learning_rate': 4.9284000000000005e-05, 'epoch': 0.07}
{'loss': 0.3209, 'grad_norm': 2.4816348552703857, 'learning_rate': 4.9204e-05, 'epoch': 0.08}
{'loss': 0.3248, 'grad_norm': 1.604597806930542, 'learning_rate': 4.9124000000000006e-05, 'epoch': 0.09}
{'loss': 0.3076, 'grad_norm': 1.2978907823562622, 'learning_rate': 4.9044e-05, 'epoch': 0.1}
{'loss': 0.3306, 'grad_norm': 2.3206076622009277, 'learning_rate': 4.896400000000001e-05, 'epoch': 0.1}
{'loss': 0.2976, 'grad_norm': 1.6682345867156982, 'learning_rate': 4.8884e-05, 'epoch': 0.11}
{'loss': 0.3681, 'grad_norm': 2.440173864364624, 'learning_rate': 4.8804e-05, 'epoch': 0.12}
{'loss': 0.3376, 'grad_norm': 1.3815373182296753, 'learning_rate': 4.8724e-05, 'epoch': 0.13}
{'loss': 0.3252, 'grad_norm': 1.8936753273010254, 'learning_rate': 4.8644000000000004e-05, 'epoch': 0.14}
{'loss': 0.3333, 'grad_norm': 2.024977922439575, 'learning_rate': 4.8564000000000005e-05, 'epoch': 0.14}
{'loss': 0.2673, 'grad_norm': 2.0675761699676514, 'learning_rate': 4.8484e-05, 'epoch': 0.15}
{'loss': 0.3046, 'grad_norm': 1.5263513326644897, 'learning_rate': 4.8404000000000006e-05, 'epoch': 0.16}
{'loss': 0.3345, 'grad_norm': 1.977198839187622, 'learning_rate': 4.8324e-05, 'epoch': 0.17}
{'loss': 0.2862, 'grad_norm': 1.9756617546081543, 'learning_rate': 4.8244e-05, 'epoch': 0.18}
{'loss': 0.3044, 'grad_norm': 1.5758450031280518, 'learning_rate': 4.8164e-05, 'epoch': 0.18}
{'loss': 0.3152, 'grad_norm': 1.4556924104690552, 'learning_rate': 4.8084e-05, 'epoch': 0.19}
{'loss': 0.32, 'grad_norm': 1.846331238746643, 'learning_rate': 4.8004e-05, 'epoch': 0.2}
{'loss': 0.3364, 'grad_norm': 1.3766627311706543, 'learning_rate': 4.7924000000000004e-05, 'epoch': 0.21}
{'loss': 0.3669, 'grad_norm': 2.900416374206543, 'learning_rate': 4.7844e-05, 'epoch': 0.22}
{'loss': 0.3392, 'grad_norm': 1.8308532238006592, 'learning_rate': 4.7764000000000006e-05, 'epoch': 0.22}
{'loss': 0.2864, 'grad_norm': 1.4546308517456055, 'learning_rate': 4.7684e-05, 'epoch': 0.23}
{'loss': 0.3329, 'grad_norm': 1.6132162809371948, 'learning_rate': 4.760400000000001e-05, 'epoch': 0.24}
{'loss': 0.3635, 'grad_norm': 1.5471159219741821, 'learning_rate': 4.7524e-05, 'epoch': 0.25}
{'loss': 0.3135, 'grad_norm': 1.711605191230774, 'learning_rate': 4.7444e-05, 'epoch': 0.26}
{'loss': 0.4083, 'grad_norm': 1.3881133794784546, 'learning_rate': 4.7364e-05, 'epoch': 0.26}
{'loss': 0.3439, 'grad_norm': 1.7783763408660889, 'learning_rate': 4.7284e-05, 'epoch': 0.27}
{'loss': 0.3165, 'grad_norm': 1.3293678760528564, 'learning_rate': 4.7204000000000004e-05, 'epoch': 0.28}
{'loss': 0.3167, 'grad_norm': 1.532956838607788, 'learning_rate': 4.7124000000000005e-05, 'epoch': 0.29}
{'loss': 0.3264, 'grad_norm': 1.4244909286499023, 'learning_rate': 4.7044000000000006e-05, 'epoch': 0.3}
{'loss': 0.3083, 'grad_norm': 1.8529102802276611, 'learning_rate': 4.6964e-05, 'epoch': 0.3}
{'loss': 0.3759, 'grad_norm': 2.395547866821289, 'learning_rate': 4.6884e-05, 'epoch': 0.31}
{'loss': 0.2682, 'grad_norm': 2.0021450519561768, 'learning_rate': 4.6804e-05, 'epoch': 0.32}
{'loss': 0.297, 'grad_norm': 1.8728450536727905, 'learning_rate': 4.6724e-05, 'epoch': 0.33}
{'loss': 0.3545, 'grad_norm': 1.8998093605041504, 'learning_rate': 4.6644e-05, 'epoch': 0.34}
{'loss': 0.3316, 'grad_norm': 2.1767373085021973, 'learning_rate': 4.6564000000000003e-05, 'epoch': 0.34}
{'loss': 0.273, 'grad_norm': 1.4168027639389038, 'learning_rate': 4.6484e-05, 'epoch': 0.35}
{'loss': 0.2691, 'grad_norm': 1.1587918996810913, 'learning_rate': 4.6404000000000005e-05, 'epoch': 0.36}
{'loss': 0.2634, 'grad_norm': 1.250216007232666, 'learning_rate': 4.6324e-05, 'epoch': 0.37}
{'loss': 0.2953, 'grad_norm': 1.659507393836975, 'learning_rate': 4.6244000000000007e-05, 'epoch': 0.38}
{'loss': 0.2919, 'grad_norm': 1.8350780010223389, 'learning_rate': 4.6164e-05, 'epoch': 0.38}
{'loss': 0.3043, 'grad_norm': 1.5028409957885742, 'learning_rate': 4.608400000000001e-05, 'epoch': 0.39}
{'loss': 0.2793, 'grad_norm': 1.4577827453613281, 'learning_rate': 4.6004e-05, 'epoch': 0.4}
{'loss': 0.2628, 'grad_norm': 1.1493570804595947, 'learning_rate': 4.5924e-05, 'epoch': 0.41}
{'loss': 0.3049, 'grad_norm': 1.9617806673049927, 'learning_rate': 4.5844000000000004e-05, 'epoch': 0.42}
{'loss': 0.3315, 'grad_norm': 2.5491950511932373, 'learning_rate': 4.5764000000000004e-05, 'epoch': 0.42}
{'loss': 0.2784, 'grad_norm': 1.466643214225769, 'learning_rate': 4.5684000000000005e-05, 'epoch': 0.43}
{'loss': 0.3213, 'grad_norm': 1.5902206897735596, 'learning_rate': 4.5604e-05, 'epoch': 0.44}
{'loss': 0.2796, 'grad_norm': 1.560032606124878, 'learning_rate': 4.5524e-05, 'epoch': 0.45}
{'loss': 0.286, 'grad_norm': 1.5489020347595215, 'learning_rate': 4.5444e-05, 'epoch': 0.46}
{'loss': 0.3207, 'grad_norm': 1.0252619981765747, 'learning_rate': 4.5364e-05, 'epoch': 0.46}
{'loss': 0.2978, 'grad_norm': 1.3930541276931763, 'learning_rate': 4.5284e-05, 'epoch': 0.47}
{'loss': 0.2857, 'grad_norm': 1.8824098110198975, 'learning_rate': 4.5204e-05, 'epoch': 0.48}
{'loss': 0.2708, 'grad_norm': 0.9744099378585815, 'learning_rate': 4.5124e-05, 'epoch': 0.49}
{'loss': 0.2682, 'grad_norm': 1.5227159261703491, 'learning_rate': 4.5044000000000004e-05, 'epoch': 0.5}
{'loss': 0.2651, 'grad_norm': 1.0126283168792725, 'learning_rate': 4.4964e-05, 'epoch': 0.5}
{'loss': 0.3533, 'grad_norm': 1.546139121055603, 'learning_rate': 4.4884000000000006e-05, 'epoch': 0.51}
{'loss': 0.3465, 'grad_norm': 1.4637532234191895, 'learning_rate': 4.4804e-05, 'epoch': 0.52}
{'loss': 0.273, 'grad_norm': 1.3644042015075684, 'learning_rate': 4.472400000000001e-05, 'epoch': 0.53}
{'loss': 0.2921, 'grad_norm': 1.3931009769439697, 'learning_rate': 4.4644e-05, 'epoch': 0.54}
{'loss': 0.2889, 'grad_norm': 1.9023171663284302, 'learning_rate': 4.4564e-05, 'epoch': 0.54}
{'loss': 0.3382, 'grad_norm': 1.1512746810913086, 'learning_rate': 4.4484e-05, 'epoch': 0.55}
{'loss': 0.2863, 'grad_norm': 1.2958747148513794, 'learning_rate': 4.4404000000000004e-05, 'epoch': 0.56}
{'loss': 0.2913, 'grad_norm': 2.0921437740325928, 'learning_rate': 4.4324000000000005e-05, 'epoch': 0.57}
{'loss': 0.3138, 'grad_norm': 0.9224434494972229, 'learning_rate': 4.4244000000000005e-05, 'epoch': 0.58}
{'loss': 0.3014, 'grad_norm': 1.1653717756271362, 'learning_rate': 4.4164e-05, 'epoch': 0.58}
{'loss': 0.3464, 'grad_norm': 1.0484955310821533, 'learning_rate': 4.4084e-05, 'epoch': 0.59}
{'loss': 0.296, 'grad_norm': 1.6760609149932861, 'learning_rate': 4.4004e-05, 'epoch': 0.6}
{'loss': 0.2627, 'grad_norm': 0.9314240217208862, 'learning_rate': 4.3924e-05, 'epoch': 0.61}
{'loss': 0.3031, 'grad_norm': 1.8875399827957153, 'learning_rate': 4.3844e-05, 'epoch': 0.62}
{'loss': 0.3267, 'grad_norm': 1.2926050424575806, 'learning_rate': 4.3763999999999996e-05, 'epoch': 0.62}
{'loss': 0.292, 'grad_norm': 1.0395275354385376, 'learning_rate': 4.3684000000000004e-05, 'epoch': 0.63}
{'loss': 0.3047, 'grad_norm': 1.217626929283142, 'learning_rate': 4.3604e-05, 'epoch': 0.64}
{'loss': 0.3073, 'grad_norm': 1.5485936403274536, 'learning_rate': 4.3524000000000005e-05, 'epoch': 0.65}
